treatment_id,treatment_name
1,Magical_Beans_1
2,Magical_Beans_2
3,Magical_Beans_3
4,Magical_Beans_4
5,Magical_Beans_5
6,Magical_Beans_6
7,Magical_Beans_7
8,Magical_Beans_8
9,Magical_Beans_9
10,Magical_Beans_10
11,Magical_Beans_11
12,Magical_Beans_12
13,Magical_Beans_13
14,Magical_Beans_14
15,Magical_Beans_15
16,Magical_Beans_16
17,Magical_Beans_17
18,Magical_Beans_18
19,Magical_Beans_19
20,Magical_Beans_20
21,Magical_Beans_21
22,Magical_Beans_22
23,Magical_Beans_23
24,Magical_Beans_24
25,Magical_Beans_25
26,Magical_Beans_26
27,Magical_Beans_27
28,Magical_Beans_28
29,Magical_Beans_29
30,Magical_Beans_30
31,Magical_Beans_31
32,Magical_Beans_32
33,Magical_Beans_33
34,Magical_Beans_34
35,Magical_Beans_35
36,Magical_Beans_36
37,Magical_Beans_37
38,Magical_Beans_38
39,Magical_Beans_39
40,Magical_Beans_40
41,Magical_Beans_41
42,Magical_Beans_42
43,Magical_Beans_43
44,Magical_Beans_44
45,Magical_Beans_45
46,Magical_Beans_46
47,Magical_Beans_47
48,Magical_Beans_48
49,Magical_Beans_49
50,Magical_Beans_50
51,Magical_Beans_51
52,Magical_Beans_52
53,Magical_Beans_53
54,Magical_Beans_54
55,Magical_Beans_55
56,Magical_Beans_56
57,Magical_Beans_57
58,Magical_Beans_58
59,Magical_Beans_59
60,Magical_Beans_60
61,Magical_Beans_61
62,Magical_Beans_62
63,Magical_Beans_63
64,Magical_Beans_64
65,Magical_Beans_65
66,Magical_Beans_66
67,Magical_Beans_67
68,Magical_Beans_68
69,Magical_Beans_69
70,Magical_Beans_70
71,Magical_Beans_71
72,Magical_Beans_72
73,Magical_Beans_73
74,Magical_Beans_74
75,Magical_Beans_75
76,Magical_Beans_76
77,Magical_Beans_77
78,Magical_Beans_78
79,Magical_Beans_79
80,Magical_Beans_80
81,Magical_Beans_81
82,Magical_Beans_82
83,Magical_Beans_83
84,Magical_Beans_84
85,Magical_Beans_85
86,Magical_Beans_86
87,Magical_Beans_87
88,Magical_Beans_88
89,Magical_Beans_89
90,Magical_Beans_90
91,Magical_Beans_91
92,Magical_Beans_92
93,Magical_Beans_93
94,Magical_Beans_94
95,Magical_Beans_95
96,Magical_Beans_96
97,Magical_Beans_97
98,Magical_Beans_98
99,Magical_Beans_99
100,Magical_Beans_100
101,Magical_Beans_101
102,Magical_Beans_102
103,Magical_Beans_103
104,Magical_Beans_104
105,Magical_Beans_105
106,Magical_Beans_106
107,Magical_Beans_107
108,Magical_Beans_108
109,Magical_Beans_109
110,Magical_Beans_110
111,Magical_Beans_111
112,Magical_Beans_112
113,Magical_Beans_113
114,Magical_Beans_114
115,Magical_Beans_115
116,Magical_Beans_116
117,Magical_Beans_117
118,Magical_Beans_118
119,Magical_Beans_119
120,Magical_Beans_120
121,Magical_Beans_121
122,Magical_Beans_122
123,Magical_Beans_123
124,Magical_Beans_124
125,Magical_Beans_125
126,Magical_Beans_126
127,Magical_Beans_127
128,Magical_Beans_128
129,Magical_Beans_129
130,Magical_Beans_130
131,Magical_Beans_131
132,Magical_Beans_132
133,Magical_Beans_133
134,Magical_Beans_134
135,Magical_Beans_135
136,Magical_Beans_136
137,Magical_Beans_137
138,Magical_Beans_138
139,Magical_Beans_139
140,Magical_Beans_140
141,Magical_Beans_141
142,Magical_Beans_142
143,Magical_Beans_143
144,Magical_Beans_144
145,Magical_Beans_145
146,Magical_Beans_146
147,Magical_Beans_147
148,Magical_Beans_148
149,Magical_Beans_149
150,Magical_Beans_150
151,Magical_Beans_151
152,Magical_Beans_152
153,Magical_Beans_153
154,Magical_Beans_154
155,Magical_Beans_155
156,Magical_Beans_156
157,Magical_Beans_157
158,Magical_Beans_158
159,Magical_Beans_159
160,Magical_Beans_160
161,Magical_Beans_161
162,Magical_Beans_162
163,Magical_Beans_163
